Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Nikita Kucherov,30,TBL,RW,81,44,100,144,8,22,15.5,31,13,0,6,60,40,0,306,14.4,1755,21:40,35,45,2,2,50.0,kucheni01
2,Nathan MacKinnon,28,COL,C,82,51,89,140,35,42,16.0,41,10,0,9,51,38,0,405,12.6,1871,22:49,69,55,607,707,46.2,mackina01
3,Connor McDavid,27,EDM,C,76,32,100,132,35,30,14.1,24,7,1,5,63,37,0,263,12.2,1623,21:22,39,118,442,423,51.1,mcdavco01
4,Artemi Panarin,32,NYR,LW,82,49,71,120,18,24,14.3,38,11,0,5,37,33,1,303,16.2,1650,20:07,15,18,1,9,10.0,panarar01
5,David Pastrňák,27,BOS,RW,82,47,63,110,21,47,13.3,35,12,0,5,40,23,0,382,12.3,1634,19:56,19,70,8,16,33.3,pastrda01
6,Auston Matthews,26,TOR,C,81,69,38,107,31,20,15.1,51,18,0,8,26,11,1,369,18.7,1698,20:58,93,90,705,614,53.4,matthau01
7,Leon Draisaitl,28,EDM,C,81,41,65,106,26,76,12.0,20,21,0,7,45,18,2,217,18.9,1676,20:42,26,58,826,625,56.9,draisle01
8,Mikko Rantanen,27,COL,RW,80,42,62,104,19,50,11.2,28,14,0,9,36,26,0,271,15.5,1832,22:54,49,53,275,236,53.8,rantami01
9,J.T. Miller,30,VAN,C,81,37,66,103,32,58,11.7,25,10,2,9,36,30,0,194,19.1,1579,19:29,61,217,823,638,56.3,millejt01
10,William Nylander,27,TOR,C,82,40,58,98,1,24,10.4,26,11,3,7,33,24,1,316,12.7,1633,19:55,29,32,56,63,47.1,nylanwi01
11,Kirill Kaprizov,26,MIN,LW,75,46,50,96,11,36,11.4,27,19,0,8,28,22,0,277,16.6,1618,21:35,38,55,0,1,0.0,kapriki01
12,Sidney Crosby,36,PIT,C,82,42,52,94,7,40,10.7,32,10,0,3,39,13,0,278,15.1,1647,20:05,37,101,1090,782,58.2,crosbsi01
13,Filip Forsberg,29,NSH,C,82,48,46,94,16,43,11.7,35,13,0,11,27,19,0,347,13.8,1550,18:54,44,141,11,11,50.0,forsbfi01
14,Sam Reinhart,28,FLA,C,82,57,37,94,29,31,13.1,25,27,5,11,30,7,0,233,24.5,1665,20:18,66,78,234,296,44.2,reinhsa01
15,Quinn Hughes,24,VAN,D,82,17,75,92,38,38,14.4,12,5,0,2,42,33,0,199,8.5,2024,24:41,55,29,0,0,,hughequ01
16,Cale Makar,25,COL,D,77,21,69,90,15,16,12.3,13,7,1,1,34,32,3,231,9.1,1907,24:46,148,37,0,0,,makarca01
17,Brayden Point,27,TBL,C,81,46,44,90,-16,14,9.8,31,15,0,12,27,17,0,227,20.3,1623,20:02,44,16,294,350,45.7,pointbr01
18,Sebastian Aho,26,CAR,F,78,36,53,89,34,36,10.9,24,11,1,10,31,21,1,216,16.7,1531,19:38,18,48,571,484,54.1,ahose01
19,Elias Pettersson,25,VAN,C,82,34,55,89,20,12,9.6,21,13,0,10,35,18,2,207,16.4,1611,19:39,68,125,406,393,50.8,petteel01
20,Matthew Tkachuk,26,FLA,LW,80,26,62,88,19,88,9.4,19,6,1,2,36,26,0,280,9.3,1491,18:38,28,151,3,6,33.3,tkachma01
21,Robert Thomas,24,STL,C,82,26,60,86,9,48,8.6,17,8,1,3,39,19,2,170,15.3,1719,20:58,47,16,876,773,53.1,thomaro01
22,Roman Josi,33,NSH,D,82,23,62,85,12,45,12.8,14,9,0,5,37,24,1,268,8.6,2020,24:38,151,46,0,0,,josiro01
23,Mitch Marner,26,TOR,RW,69,26,59,85,21,18,8.8,17,8,1,2,40,19,0,158,16.5,1468,21:17,51,59,4,12,25.0,marnemi01
24,Jesper Bratt,25,NJD,W,82,27,56,83,-6,12,8.2,20,7,0,7,35,20,1,248,10.9,1583,19:18,33,66,8,14,36.4,brattje01
25,Evan Bouchard,24,EDM,D,81,18,64,82,34,32,13.1,10,8,0,7,37,27,0,220,8.2,1863,23:00,105,71,0,0,,bouchev01
26,Steven Stamkos,33,TBL,C,79,40,41,81,-21,34,8.5,21,19,0,6,21,20,0,262,15.3,1440,18:14,43,78,357,280,56.0,stamkst01
27,Aleksander Barkov,28,FLA,C,73,23,57,80,33,24,9.0,18,5,0,4,31,24,2,193,11.9,1433,19:38,50,104,630,470,57.3,barkoal01
28,Mathew Barzal,26,NYI,C,80,23,57,80,-4,34,7.1,18,5,0,4,37,20,0,240,9.6,1611,20:08,52,54,49,65,43.0,barzama01
29,Jason Robertson,24,DAL,LW,82,29,51,80,19,22,8.5,20,9,0,4,32,19,0,231,12.6,1503,18:19,31,77,0,0,,roberja01
30,Jake Guentzel,29,TOT,C,67,30,47,77,25,22,9.0,25,5,0,2,30,17,0,238,12.6,1341,20:01,28,48,6,17,26.1,guentja01
31,Zach Hyman,31,EDM,LW,80,54,23,77,36,48,11.1,39,15,0,7,18,5,0,290,18.6,1560,19:30,37,87,7,9,43.8,hymanza01
32,Nick Suzuki,24,MTL,C,82,33,44,77,-14,36,7.3,21,12,0,1,25,19,0,185,17.8,1744,21:16,48,69,689,622,52.6,suzukni01
33,Vincent Trocheck,30,NYR,C,82,25,52,77,16,55,7.7,13,11,1,5,39,13,0,215,11.6,1759,21:27,86,175,881,619,58.7,trochvi01
34,Victor Hedman,33,TBL,D,78,13,63,76,18,76,11.6,9,4,0,2,36,27,0,168,7.7,1935,24:48,102,65,0,0,,hedmavi01
35,Clayton Keller,25,ARI,C,78,33,43,76,-20,32,7.4,24,9,0,4,22,21,0,228,14.5,1501,19:15,30,20,30,35,46.2,kellecl01
36,Brandon Hagel,25,TBL,LW,82,26,49,75,1,79,7.2,24,2,0,3,42,5,2,184,14.1,1579,19:15,45,55,25,36,41.0,hagelbr01
37,Nazem Kadri,33,CGY,C,82,29,46,75,0,43,7.6,19,10,0,4,34,12,0,277,10.5,1511,18:26,24,57,592,618,48.9,kadrina01
38,Adrian Kempe,27,LAK,LW,77,28,47,75,13,72,8.3,20,5,3,4,24,22,1,246,11.4,1458,18:56,32,112,3,10,23.1,kempead01
39,Chris Kreider,32,NYR,LW,82,39,36,75,19,26,9.3,19,18,2,7,22,11,3,246,15.9,1540,18:47,20,99,35,61,36.5,kreidch01
40,Gustav Nyquist,34,NSH,RW,81,23,52,75,7,8,7.3,17,5,1,4,32,19,1,153,15.0,1437,17:45,38,36,15,24,38.5,nyquigu01
41,Jack Hughes,22,NJD,C,62,27,47,74,-12,12,7.5,18,9,0,4,25,22,0,274,9.9,1300,20:58,24,10,118,199,37.2,hugheja03
42,Brady Tkachuk,24,OTT,LW,81,37,37,74,1,134,8.2,25,12,0,2,27,10,0,357,10.4,1551,19:09,34,294,200,180,52.6,tkachbr01
43,Brock Boeser,26,VAN,RW,81,40,33,73,23,14,9.0,24,16,0,4,24,9,0,204,19.6,1507,18:36,29,56,13,12,52.0,boesebr01
44,Kevin Fiala,27,LAK,LW,82,29,44,73,1,62,7.7,18,11,0,2,25,19,0,225,12.9,1479,18:02,28,67,10,28,26.3,fialake01
45,Adam Fox,25,NYR,D,72,17,56,73,21,36,11.9,10,6,1,5,28,27,1,137,12.4,1688,23:27,123,44,0,0,,foxad01
46,Lucas Raymond,21,DET,LW,82,31,41,72,-12,30,7.1,25,6,0,4,31,10,0,163,19.0,1456,17:45,27,69,4,6,40.0,raymolu01
47,Mark Scheifele,30,WPG,C,74,25,47,72,19,57,7.5,19,6,0,4,35,12,0,154,16.2,1494,20:11,40,63,603,650,48.1,scheima01
48,Carter Verhaeghe,28,FLA,C,76,34,38,72,17,36,8.8,26,8,0,7,25,13,0,246,13.8,1365,17:58,20,63,37,47,44.0,verhaca01
49,Mika Zibanejad,30,NYR,C,81,26,46,72,15,30,7.5,12,12,2,3,23,19,4,221,11.8,1599,19:45,55,49,548,564,49.3,zibanmi01
50,Noah Dobson,24,NYI,D,79,10,60,70,12,36,9.9,9,1,0,4,36,23,1,174,5.7,1936,24:31,180,84,0,0,,dobsono01
51,Anže Kopitar,36,LAK,C,81,26,44,70,11,22,7.3,16,9,1,6,28,14,2,133,19.5,1592,19:39,65,37,859,701,55.1,kopitan01
52,Tim Stützle,22,OTT,LW,75,18,52,70,-17,28,5.3,17,1,0,2,33,19,0,192,9.4,1584,21:07,41,100,239,273,46.7,stuetti02
