Franchise,Lg,From,To,Yrs,GP,W,L,T,OL,PTS,PTS%,Yrs Plyf,Div,Conf,Champ,St Cup
Anaheim Ducks,NHL,1993,2024,30,2357,1071,968,107,211,2460,.522,14,6,2,1,1
Anaheim Ducks,NHL,2006,2024,18,1405,690,541,0,174,1554,.553,10,6,1,1,1
Mighty Ducks of Anaheim,NHL,1993,2006,12,952,381,427,107,37,906,.476,4,0,1,0,0
Arizona Coyotes,NHL,1979,2024,44,3480,1424,1599,266,191,3305,.475,20,1,0,0,0
Arizona Coyotes,NHL,2014,2024,10,782,303,393,0,86,692,.442,1,0,0,0,0
Phoenix Coyotes,NHL,1996,2014,17,1360,615,546,94,105,1429,.525,8,1,0,0,0
Winnipeg Jets,NHL,1979,1996,17,1338,506,660,172,0,1184,.442,11,0,0,0,0
Boston Bruins,NHL,1924,2024,99,6872,3404,2461,791,216,7815,.569,77,30,5,6,6
Buffalo Sabres,NHL,1970,2024,53,4191,1918,1673,409,191,4436,.529,29,6,1,0,0
Calgary Flames,NHL,1972,2024,51,4036,1891,1583,379,183,4344,.538,31,8,3,1,1
Calgary Flames,NHL,1980,2024,43,3400,1623,1323,271,183,3700,.544,25,8,3,1,1
Atlanta Flames,NHL,1972,1980,8,636,268,260,108,0,644,.506,6,0,0,0,0
Carolina Hurricanes,NHL,1979,2024,44,3478,1519,1498,263,198,3499,.503,19,7,2,1,1
Carolina Hurricanes,NHL,1997,2024,26,2058,985,789,86,198,2254,.548,11,6,2,1,1
Hartford Whalers,NHL,1979,1997,18,1420,534,709,177,0,1245,.438,8,1,0,0,0
Chicago Blackhawks,NHL,1926,2024,97,6806,2889,2905,814,198,6790,.499,63,17,4,6,6
Chicago Blackhawks,NHL,1986,2024,37,2920,1321,1204,197,198,3037,.520,22,6,4,3,3
Chicago Black Hawks,NHL,1926,1986,60,3886,1568,1701,617,0,3753,.483,41,11,0,3,3
Colorado Avalanche,NHL,1979,2024,44,3480,1661,1395,261,163,3746,.538,29,14,3,3,3
Colorado Avalanche,NHL,1995,2024,28,2224,1164,796,101,163,2592,.583,20,12,3,3,3
Quebec Nordiques,NHL,1979,1995,16,1256,497,599,160,0,1154,.459,9,2,0,0,0
Columbus Blue Jackets,NHL,2000,2024,23,1814,767,827,33,187,1754,.483,6,0,0,0,0
Dallas Stars,NHL,1967,2024,56,4417,1987,1780,459,191,4624,.523,36,11,4,1,1
Dallas Stars,NHL,1993,2024,30,2355,1229,810,125,191,2774,.589,19,9,3,1,1
Minnesota North Stars,NHL,1967,1993,26,2062,758,970,334,0,1850,.449,17,2,1,0,0
Detroit Red Wings,NHL,1926,2024,97,6807,3097,2683,815,212,7221,.530,64,29,6,11,11
Detroit Red Wings,NHL,1932,2024,91,6539,2999,2555,773,212,6983,.534,62,29,6,11,11
Detroit Falcons,NHL,1930,1932,2,92,34,41,17,0,85,.462,1,0,0,0,0
Detroit Cougars,NHL,1926,1930,4,176,64,87,25,0,153,.435,1,0,0,0,0
Edmonton Oilers,NHL,1979,2024,44,3481,1617,1414,262,188,3684,.529,26,6,7,5,5
Florida Panthers,NHL,1993,2024,30,2355,1041,944,142,228,2452,.521,10,4,2,0,0
Los Angeles Kings,NHL,1967,2024,56,4418,1889,1907,424,198,4400,.498,33,1,3,2,2
Minnesota Wild,NHL,2000,2024,23,1813,897,680,55,181,2030,.560,13,1,0,0,0
Montreal Canadiens,NHL,1917,2024,106,7033,3556,2432,837,208,8157,.580,85,37,4,25,23
Nashville Predators,NHL,1998,2024,25,1977,986,748,60,183,2215,.560,16,2,1,0,0
New Jersey Devils,NHL,1974,2024,49,3879,1651,1709,328,191,3821,.493,24,9,5,3,3
New Jersey Devils,NHL,1982,2024,41,3239,1511,1318,219,191,3432,.530,23,9,5,3,3
Colorado Rockies,NHL,1976,1982,6,480,113,281,86,0,312,.325,1,0,0,0,0
Kansas City Scouts,NHL,1974,1976,2,160,27,110,23,0,77,.241,0,0,0,0,0
New York Islanders,NHL,1972,2024,51,4034,1806,1680,347,201,4160,.516,29,6,3,4,4
New York Rangers,NHL,1926,2024,97,6806,3037,2785,808,176,7058,.519,63,9,2,4,4
Ottawa Senators,NHL,1992,2024,31,2441,1080,1058,115,188,2463,.505,16,4,1,0,0
Philadelphia Flyers,NHL,1967,2024,56,4417,2173,1569,457,218,5021,.568,40,16,4,2,2
Pittsburgh Penguins,NHL,1967,2024,56,4417,2027,1822,383,185,4622,.523,37,10,6,5,5
San Jose Sharks,NHL,1991,2024,32,2520,1143,1055,121,201,2608,.517,21,6,1,0,0
Seattle Kraken,NHL,2021,2024,3,246,107,112,0,27,241,.490,1,0,0,0,0
St. Louis Blues,NHL,1967,2024,56,4419,2058,1738,432,191,4739,.536,45,10,1,1,1
Tampa Bay Lightning,NHL,1992,2024,31,2440,1127,1029,112,172,2538,.520,16,4,4,3,3
Toronto Maple Leafs,NHL,1917,2024,106,7032,3150,2897,783,202,7285,.518,73,9,0,13,13
Toronto Maple Leafs,NHL,1926,2024,97,6806,3038,2788,778,202,7056,.518,69,8,0,11,11
Toronto St. Patricks,NHL,1919,1926,7,186,94,87,5,0,193,.519,3,1,0,1,1
Toronto Arenas,NHL,1917,1919,2,40,18,22,0,0,36,.450,1,0,0,1,1
Vancouver Canucks,NHL,1970,2024,53,4191,1777,1836,391,187,4132,.493,29,11,3,0,0
Vegas Golden Knights,NHL,2017,2024,7,537,312,176,0,49,673,.627,6,4,2,1,1
Washington Capitals,NHL,1974,2024,49,3879,1819,1561,303,196,4137,.533,33,13,2,1,1
Winnipeg Jets,NHL,1999,2024,24,1897,861,818,45,173,1940,.511,8,1,0,0,0
Winnipeg Jets,NHL,2011,2024,13,995,519,381,0,95,1133,.569,7,0,0,0,0
Atlanta Thrashers,NHL,1999,2011,11,902,342,437,45,78,807,.447,1,1,0,0,0
