Franchise,Lg,From,To,Yrs,GP,W,L,T,OL,PTS,PTS%,Yrs Plyf,Div,Conf,Champ,St Cup
Anaheim Ducks,NHL,1993,2024,30,2357,1071,968,107.0,211.0,2460,0.522,14,6,2.0,1,1.0
Arizona Coyotes,NHL,1979,2024,44,3480,1424,1599,266.0,191.0,3305,0.475,20,1,0.0,0,0.0
Winnipeg Jets,NHL,1979,1996,17,1338,506,660,172.0,,1184,0.442,11,0,0.0,0,0.0
Boston Bruins,NHL,1924,2024,99,6872,3404,2461,791.0,216.0,7815,0.569,77,30,5.0,6,6.0
Buffalo Sabres,NHL,1970,2024,53,4191,1918,1673,409.0,191.0,4436,0.529,29,6,1.0,0,0.0
Calgary Flames,NHL,1972,2024,51,4036,1891,1583,379.0,183.0,4344,0.538,31,8,3.0,1,1.0
Carolina Hurricanes,NHL,1979,2024,44,3478,1519,1498,263.0,198.0,3499,0.503,19,7,2.0,1,1.0
Chicago Blackhawks,NHL,1926,2024,97,6806,2889,2905,814.0,198.0,6790,0.499,63,17,4.0,6,6.0
Colorado Avalanche,NHL,1979,2024,44,3480,1661,1395,261.0,163.0,3746,0.538,29,14,3.0,3,3.0
Columbus Blue Jackets,NHL,2000,2024,23,1814,767,827,33.0,187.0,1754,0.483,6,0,0.0,0,0.0
Dallas Stars,NHL,1967,2024,56,4417,1987,1780,459.0,191.0,4624,0.523,36,11,4.0,1,1.0
Detroit Red Wings,NHL,1926,2024,97,6807,3097,2683,815.0,212.0,7221,0.53,64,29,6.0,11,11.0
Edmonton Oilers,NHL,1979,2024,44,3481,1617,1414,262.0,188.0,3684,0.529,26,6,7.0,5,5.0
Florida Panthers,NHL,1993,2024,30,2355,1041,944,142.0,228.0,2452,0.521,10,4,2.0,0,0.0
Los Angeles Kings,NHL,1967,2024,56,4418,1889,1907,424.0,198.0,4400,0.498,33,1,3.0,2,2.0
Minnesota Wild,NHL,2000,2024,23,1813,897,680,55.0,181.0,2030,0.56,13,1,0.0,0,0.0
Montreal Canadiens,NHL,1917,2024,106,7033,3556,2432,837.0,208.0,8157,0.58,85,37,4.0,25,23.0
Nashville Predators,NHL,1998,2024,25,1977,986,748,60.0,183.0,2215,0.56,16,2,1.0,0,0.0
New Jersey Devils,NHL,1974,2024,49,3879,1651,1709,328.0,191.0,3821,0.493,24,9,5.0,3,3.0
New York Islanders,NHL,1972,2024,51,4034,1806,1680,347.0,201.0,4160,0.516,29,6,3.0,4,4.0
New York Rangers,NHL,1926,2024,97,6806,3037,2785,808.0,176.0,7058,0.519,63,9,2.0,4,4.0
Ottawa Senators,NHL,1992,2024,31,2441,1080,1058,115.0,188.0,2463,0.505,16,4,1.0,0,0.0
Philadelphia Flyers,NHL,1967,2024,56,4417,2173,1569,457.0,218.0,5021,0.568,40,16,4.0,2,2.0
Pittsburgh Penguins,NHL,1967,2024,56,4417,2027,1822,383.0,185.0,4622,0.523,37,10,6.0,5,5.0
San Jose Sharks,NHL,1991,2024,32,2520,1143,1055,121.0,201.0,2608,0.517,21,6,1.0,0,0.0
Seattle Kraken,NHL,2021,2024,3,246,107,112,,27.0,241,0.49,1,0,,0,
St. Louis Blues,NHL,1967,2024,56,4419,2058,1738,432.0,191.0,4739,0.536,45,10,1.0,1,1.0
Tampa Bay Lightning,NHL,1992,2024,31,2440,1127,1029,112.0,172.0,2538,0.52,16,4,4.0,3,3.0
Toronto Maple Leafs,NHL,1917,2024,106,7032,3150,2897,783.0,202.0,7285,0.518,73,9,0.0,13,13.0
Vancouver Canucks,NHL,1970,2024,53,4191,1777,1836,391.0,187.0,4132,0.493,29,11,3.0,0,0.0
Vegas Golden Knights,NHL,2017,2024,7,537,312,176,,49.0,673,0.627,6,4,2.0,1,1.0
Washington Capitals,NHL,1974,2024,49,3879,1819,1561,303.0,196.0,4137,0.533,33,13,2.0,1,1.0
Winnipeg Jets,NHL,1999,2024,24,1897,861,818,45.0,173.0,1940,0.511,8,1,0.0,0,0.0
