Team Name,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS
New Jersey Devils*,82,45,23,14,104,.634,231,182,0.57,-0.03
Philadelphia Flyers*,82,45,24,13,103,.628,274,217,0.67,-0.03
Florida Panthers*,82,35,28,19,89,.543,221,201,0.25,0.00
New York Rangers*,82,38,34,10,86,.524,258,231,0.33,0.01
Washington Capitals,82,33,40,9,75,.457,214,231,-0.17,0.04
Tampa Bay Lightning,82,32,40,10,74,.451,217,247,-0.33,0.04
New York Islanders,82,29,41,12,70,.427,240,250,-0.10,0.02
Buffalo Sabres*,Northeast Division,82,40,30,12,92,.561,237,208,0.31
Pittsburgh Penguins*,-0.04,82,38,36,8,84,.512,285,280,0.04
Ottawa Senators*,-0.02,82,31,36,15,77,.470,226,234,-0.11
Montreal Canadiens*,-0.02,82,31,36,15,77,.470,249,276,-0.34
Hartford Whalers,-0.01,82,32,39,11,75,.457,226,256,-0.37
Boston Bruins,0.00,82,26,47,9,61,.372,234,300,-0.78
Dallas Stars*,82,48,26,8,104,.634,252,198,0.64,-0.02
Detroit Red Wings*,82,38,26,18,94,.573,253,197,0.66,-0.03
Phoenix Coyotes*,82,38,37,7,83,.506,240,243,-0.02,0.02
St. Louis Blues*,82,36,35,11,83,.506,236,239,-0.03,0.01
Chicago Blackhawks*,82,34,35,13,81,.494,223,210,0.18,0.02
Toronto Maple Leafs,82,30,44,8,68,.415,230,273,-0.48,0.05
Colorado Avalanche*,82,49,24,9,107,.652,277,205,0.81,-0.07
Mighty Ducks of Anaheim*,82,36,33,13,85,.518,245,233,0.12,-0.03
Edmonton Oilers*,82,36,37,9,81,.494,252,247,0.03,-0.03
Vancouver Canucks,82,35,40,7,77,.470,257,273,-0.20,-0.01
Calgary Flames,82,32,41,9,73,.445,214,239,-0.29,0.02
Los Angeles Kings,82,28,43,11,67,.409,214,268,-0.62,0.04
San Jose Sharks,82,27,47,8,62,.378,211,278,-0.78,0.03
