Rk,,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Dallas Stars*,82,49,22,11,109,.665,242,167,0.88,-0.03,2.95,2.04,77,385,20.00,42,351,88.03,11,9,15.7,18.2,2200,11.0,1870,.911,10
2,New Jersey Devils*,82,48,23,11,107,.652,225,166,0.66,-0.06,2.74,2.02,63,333,18.92,41,309,86.73,4,9,18.0,18.6,2401,9.4,1943,.915,11
3,Detroit Red Wings*,82,44,23,15,103,.628,250,196,0.64,-0.02,3.05,2.39,67,381,17.59,51,376,86.44,8,7,16.3,16.6,2531,9.9,2118,.907,9
4,St. Louis Blues*,82,45,29,8,98,.598,256,204,0.63,0.00,3.12,2.49,62,368,16.85,49,367,86.65,12,4,17.1,17.0,2203,11.6,1979,.897,5
5,Pittsburgh Penguins*,82,40,24,18,98,.598,228,188,0.48,-0.01,2.78,2.29,67,407,16.46,46,338,86.39,11,16,14.9,18.4,2176,10.5,2202,.915,7
6,Philadelphia Flyers*,82,42,29,11,95,.579,242,193,0.53,-0.07,2.95,2.35,71,399,17.79,51,382,86.65,7,9,21.3,21.6,2352,10.3,2084,.907,6
7,Colorado Avalanche*,82,39,26,17,95,.579,231,205,0.27,-0.05,2.82,2.50,74,426,17.37,53,409,87.04,8,12,20.8,20.5,2289,10.1,2420,.915,5
8,Washington Capitals*,82,40,30,12,92,.561,219,202,0.17,-0.04,2.67,2.46,55,350,15.71,39,362,89.23,14,4,14.6,14.3,2225,9.8,2292,.912,5
9,Boston Bruins*,82,39,30,13,91,.555,221,194,0.33,0.00,2.70,2.37,62,359,17.27,44,285,84.56,5,3,13.5,15.6,2230,9.9,2161,.910,9
10,Buffalo Sabres*,82,36,29,17,89,.543,211,187,0.29,0.00,2.57,2.28,51,396,12.88,65,413,84.26,15,12,21.4,20.1,2172,9.7,2560,.927,13
11,Los Angeles Kings*,82,38,33,11,87,.530,227,225,-0.01,-0.03,2.77,2.74,52,366,14.21,63,399,84.21,10,12,21.3,21.3,2200,10.3,2481,.909,4
12,Montreal Canadiens*,82,37,32,13,87,.530,235,208,0.33,0.00,2.87,2.54,68,372,18.28,62,401,84.54,13,8,18.7,17.1,2277,10.3,2135,.903,5
13,Ottawa Senators*,82,34,33,15,83,.506,193,200,-0.06,0.02,2.35,2.44,48,375,12.80,47,303,84.49,6,9,13.1,15.3,2401,8.0,2039,.902,8
14,Phoenix Coyotes*,82,35,35,12,82,.500,224,227,0.00,0.04,2.73,2.77,57,384,14.84,66,408,83.82,10,6,19.3,19.1,2268,9.9,2222,.898,5
15,Edmonton Oilers*,82,35,37,10,80,.488,215,224,-0.13,-0.02,2.62,2.73,77,483,15.94,66,406,83.74,10,11,20.5,23.7,2351,9.1,2313,.903,8
16,San Jose Sharks*,82,34,38,10,78,.476,210,216,-0.10,-0.03,2.56,2.63,54,400,13.50,59,398,85.18,10,5,17.0,18.4,2169,9.7,2020,.893,7
17,Carolina Hurricanes,82,33,41,8,74,.451,200,219,-0.20,0.04,2.44,2.67,50,378,13.23,58,391,85.17,8,10,17.6,18.0,2177,9.2,2266,.903,4
18,Chicago Blackhawks,82,30,39,13,73,.445,192,199,-0.06,0.03,2.34,2.43,47,363,12.95,58,382,84.82,13,5,18.7,18.6,2278,8.4,2191,.909,10
19,New York Islanders,82,30,41,11,71,.433,212,225,-0.15,0.00,2.59,2.74,61,365,16.71,54,384,85.94,11,16,20.0,20.0,2119,10.0,2358,.905,8
20,Toronto Maple Leafs,82,30,43,9,69,.421,194,237,-0.46,0.07,2.37,2.89,41,359,11.42,50,372,86.56,5,13,18.0,17.2,2272,8.5,2352,.899,6
21,New York Rangers,82,25,39,18,68,.415,197,231,-0.41,0.00,2.40,2.82,62,351,17.66,55,377,85.41,0,13,18.8,18.0,2075,9.5,2299,.900,0
22,Calgary Flames,82,26,41,15,67,.409,217,252,-0.42,0.01,2.65,3.07,43,356,12.08,69,430,83.95,18,13,22.5,19.5,2270,9.6,2276,.889,0
23,Mighty Ducks of Anaheim,82,26,43,13,65,.396,205,261,-0.66,0.02,2.50,3.18,46,392,11.73,72,396,81.82,9,10,22.4,19.8,2184,9.4,2492,.895,4
24,Vancouver Canucks,82,25,43,14,64,.390,224,273,-0.58,0.02,2.73,3.33,48,374,12.83,77,432,82.18,19,12,26.2,23.1,2092,10.7,2479,.890,3
25,Florida Panthers,82,24,43,15,63,.384,203,256,-0.62,0.03,2.48,3.12,55,409,13.45,82,403,79.65,12,16,20.3,20.5,2278,8.9,2361,.892,5
26,Tampa Bay Lightning,82,17,55,10,44,.268,151,269,-1.37,0.07,1.84,3.28,33,353,9.35,72,410,82.44,11,16,22.1,19.5,2100,7.2,2377,.887,3
,League Average,82,35,35,13,82,.500,216,216,,,,,57,380,15.08,57,380,84.92,10,10,18.9,18.9,2242,9.6,2242,.904,6
