Rk,,AvAge,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Dallas Stars*,29.7,82,51,19,12,114,.695,236,168,0.76,-0.07,2.88,2.05,74,393,18.83,43,319,86.52,6,4,13.4,16.1,2266,10.4,1965,.915,6
2,New Jersey Devils*,27.2,82,47,24,11,105,.640,248,196,0.62,-0.02,3.02,2.39,60,304,19.74,47,325,85.54,7,5,16.4,14.8,2565,9.7,2025,.903,5
3,Ottawa Senators*,26.8,82,44,23,15,103,.628,239,179,0.73,0.00,2.91,2.18,59,397,14.86,44,317,86.12,6,13,10.7,14.4,2503,9.5,2068,.913,6
4,Colorado Avalanche*,28.2,82,44,28,10,98,.598,239,205,0.34,-0.08,2.91,2.50,71,375,18.93,63,386,83.68,7,12,19.6,19.0,2299,10.4,2280,.910,5
5,Toronto Maple Leafs*,27.7,82,45,30,7,97,.591,268,231,0.46,0.01,3.27,2.82,53,367,14.44,64,325,80.31,7,6,13.2,16.3,2318,11.6,2359,.902,3
6,Philadelphia Flyers*,28.5,82,37,26,19,93,.567,231,196,0.43,0.00,2.82,2.39,65,386,16.84,53,333,84.08,4,7,13.0,14.9,2451,9.4,1877,.896,7
7,Detroit Red Wings*,29.1,82,43,32,7,93,.567,245,202,0.46,-0.06,2.99,2.46,67,415,16.14,45,355,87.32,14,7,14.5,15.5,2622,9.3,2215,.909,3
8,Buffalo Sabres*,26.9,82,37,28,17,91,.555,207,175,0.41,0.02,2.52,2.13,49,363,13.50,55,399,86.22,6,7,18.9,17.1,2150,9.6,2461,.929,10
9,Boston Bruins*,27.0,82,39,30,13,91,.555,214,181,0.40,0.00,2.61,2.21,65,368,17.66,33,305,89.18,3,9,14.3,15.9,2262,9.5,2226,.919,11
10,Pittsburgh Penguins*,27.6,82,38,30,14,90,.549,242,225,0.21,0.00,2.95,2.74,65,363,17.91,56,302,81.46,10,14,11.8,13.2,2089,11.6,2129,.894,9
11,Phoenix Coyotes*,28.2,82,39,31,12,90,.549,205,197,0.08,-0.02,2.50,2.40,41,342,11.99,45,348,87.07,8,5,17.1,16.1,2398,8.5,2249,.912,9
12,St. Louis Blues*,28.5,82,37,32,13,87,.530,237,209,0.29,-0.05,2.89,2.55,61,301,20.27,47,387,87.86,7,4,15.9,12.6,2469,9.6,1868,.888,6
13,Carolina Hurricanes*,29.0,82,34,30,18,86,.524,210,202,0.10,0.00,2.56,2.46,42,382,10.99,51,346,85.26,5,6,14.0,15.7,2142,9.8,2399,.916,8
14,Mighty Ducks of Anaheim*,27.4,82,35,34,13,83,.506,215,206,0.10,-0.01,2.62,2.51,83,378,21.96,60,387,84.50,6,7,16.0,16.5,2331,9.2,2596,.921,7
15,San Jose Sharks*,28.2,82,31,33,18,80,.488,196,191,0.04,-0.02,2.39,2.33,53,399,13.28,61,407,85.01,8,4,17.2,17.8,2143,9.1,2216,.914,8
16,Florida Panthers,27.3,82,30,34,18,78,.476,210,228,-0.21,0.01,2.56,2.78,51,380,13.42,67,370,81.89,10,11,18.4,19.1,2307,9.1,2355,.903,5
17,Edmonton Oilers*,26.6,82,33,37,12,78,.476,230,226,0.02,-0.03,2.80,2.76,63,438,14.38,67,374,82.09,8,10,16.6,19.2,2396,9.6,2223,.898,3
18,New York Rangers,29.2,82,33,38,11,77,.470,217,227,-0.08,0.04,2.65,2.77,71,348,20.40,48,336,85.71,7,9,13.1,13.5,2085,10.4,2476,.908,4
19,Montreal Canadiens,27.9,82,32,39,11,75,.457,184,209,-0.26,0.05,2.24,2.55,50,344,14.53,44,344,87.21,8,10,15.7,15.5,2269,8.1,2207,.905,7
20,Calgary Flames,26.7,82,30,40,12,72,.439,211,234,-0.30,-0.02,2.57,2.85,51,357,14.29,78,386,79.79,12,6,16.8,16.3,2344,9.0,2415,.903,2
21,Chicago Blackhawks,27.5,82,29,41,12,70,.427,202,248,-0.55,0.01,2.46,3.02,50,335,14.93,80,405,80.25,8,10,22.0,18.6,2145,9.4,2404,.897,4
22,Los Angeles Kings,27.8,82,32,45,5,69,.421,189,222,-0.38,0.03,2.30,2.71,43,327,13.15,47,330,85.76,12,11,16.7,17.4,2317,8.2,2456,.910,8
23,Washington Capitals,29.2,82,31,45,6,68,.415,200,218,-0.21,0.01,2.44,2.66,52,301,17.28,55,353,84.42,8,7,16.8,13.5,2377,8.4,2143,.898,6
24,Nashville Predators,26.5,82,28,47,7,63,.384,190,261,-0.85,0.02,2.32,3.18,40,324,12.35,75,357,78.99,7,10,17.1,16.1,2218,8.6,2709,.904,2
25,New York Islanders,26.8,82,24,48,10,58,.354,194,244,-0.55,0.06,2.37,2.98,54,341,15.84,60,363,83.47,8,7,13.3,12.4,2157,9.0,2331,.895,5
26,Vancouver Canucks,26.4,82,23,47,12,58,.354,192,258,-0.77,0.04,2.34,3.15,57,358,15.92,77,450,82.89,17,9,21.3,19.0,1945,9.9,2412,.893,7
27,Tampa Bay Lightning,27.1,82,19,54,9,47,.287,179,292,-1.28,0.09,2.18,3.56,43,310,13.87,68,387,82.43,11,10,15.9,13.2,2130,8.4,2633,.889,4
,League Average,27.7,82,35,35,12,82,.500,216,216,,,,,57,359,15.81,57,359,84.19,8,8,15.9,15.9,2285,9.4,2285,.906,6
