Team Name,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%
Philadelphia Flyers*,82,42,27,10,3,97,.591,234,192,0.41,-0.11,.573
New York Islanders*,82,42,28,8,4,96,.585,239,220,0.15,-0.08,.561
New Jersey Devils*,82,41,28,9,4,95,.579,205,187,0.15,-0.07,.555
New York Rangers,82,36,38,4,4,80,.488,227,258,-0.43,-0.05,.463
Pittsburgh Penguins,82,28,41,8,5,69,.421,198,249,-0.66,-0.04,.390
Boston Bruins*,Northeast Division,82,43,24,6,9,101,.616,236,201,0.33,-0.09
Toronto Maple Leafs*,.561,82,43,25,10,4,100,.610,249,207,0.44,-0.08
Ottawa Senators*,.585,82,39,27,9,7,94,.573,243,208,0.36,-0.07
Montreal Canadiens*,.530,82,36,31,12,3,87,.530,207,209,-0.10,-0.08
Buffalo Sabres,.512,82,35,35,11,1,82,.500,213,200,0.09,-0.07
Carolina Hurricanes*,.494,Southeast Division,82,35,26,16,5,91,.555,217,217,-0.09
Washington Capitals,-0.09,.524,82,36,33,11,2,85,.518,228,240,-0.25
Tampa Bay Lightning,-0.10,.506,82,27,40,11,4,69,.421,178,219,-0.58
Florida Panthers,-0.08,.396,82,22,44,10,6,60,.366,180,250,-0.92
Atlanta Thrashers,-0.07,.329,82,19,47,11,5,54,.329,187,288,-1.27
Detroit Red Wings*,82,51,17,10,4,116,.707,251,187,0.83,0.05,.683
St. Louis Blues*,82,43,27,8,4,98,.598,227,188,0.54,0.07,.573
Chicago Blackhawks*,82,41,27,13,1,96,.585,216,207,0.19,0.08,.579
Nashville Predators,82,28,41,13,0,69,.421,196,230,-0.31,0.10,.421
Columbus Blue Jackets,82,22,47,8,5,57,.348,164,255,-0.97,0.14,.317
Colorado Avalanche*,Northwest Division,82,45,28,8,1,99,.604,212,169,0.58,0.06
Vancouver Canucks*,.598,82,42,30,7,3,94,.573,254,211,0.59,0.07
Edmonton Oilers,.555,82,38,28,12,4,92,.561,205,182,0.34,0.06
Calgary Flames,.537,82,32,35,12,3,79,.482,201,220,-0.15,0.08
Minnesota Wild,.463,82,26,35,12,9,73,.445,195,238,-0.41,0.11
San Jose Sharks*,.390,82,44,27,8,3,99,.604,248,199,0.62,0.02
Phoenix Coyotes*,.585,82,40,27,9,6,95,.579,228,210,0.29,0.07
Los Angeles Kings*,.543,82,40,27,11,4,95,.579,214,190,0.35,0.05
Dallas Stars,.555,82,36,28,13,5,90,.549,215,213,0.09,0.07
Mighty Ducks of Anaheim,.518,82,29,42,8,3,69,.421,175,198,-0.20,0.08
