Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
Montreal Canadiens*,82,47,26,9,103,.628,226,200,0.31,-0.01,.567,44,33-26-23,.543
Ottawa Senators*,82,44,28,10,98,.598,212,214,-0.01,0.01,.524,38,34-28-20,.537
Boston Bruins*,82,44,31,7,95,.579,234,212,0.27,0.00,.543,42,38-31-13,.543
Toronto Maple Leafs*,82,40,27,15,95,.579,251,242,0.11,0.00,.530,39,33-27-22,.537
Tampa Bay Lightning,82,42,30,10,94,.573,234,227,0.09,0.01,.506,38,32-30-20,.512
Florida Panthers,82,35,36,11,81,.494,210,237,-0.30,0.03,.433,30,23-36-23,.421
Detroit Red Wings,82,33,36,13,79,.482,207,244,-0.41,0.04,.348,24,17-36-29,.384
Buffalo Sabres,82,33,37,12,78,.476,201,237,-0.41,0.03,.427,31,25-37-20,.427
Washington Capitals*,82,55,19,8,118,.720,263,182,0.99,0.00,.689,53,45-19-18,.659
Pittsburgh Penguins*,82,50,21,11,111,.677,282,234,0.59,0.01,.616,46,40-21-21,.616
Columbus Blue Jackets*,82,50,24,8,108,.659,249,195,0.68,0.02,.610,48,39-24-19,.591
New York Rangers*,82,48,28,6,102,.622,256,220,0.47,0.03,.591,45,40-28-14,.573
New York Islanders,82,41,29,12,94,.573,241,242,0.03,0.05,.512,39,33-29-20,.524
Philadelphia Flyers,82,39,33,10,88,.537,219,236,-0.17,0.04,.463,32,25-33-24,.451
Carolina Hurricanes,82,36,31,15,87,.530,215,236,-0.21,0.05,.457,33,28-31-23,.482
New Jersey Devils,82,28,40,14,70,.427,183,244,-0.67,0.08,.341,25,18-40-24,.366
Chicago Blackhawks*,82,50,23,9,109,.665,244,213,0.32,-0.06,.591,46,37-23-22,.585
Minnesota Wild*,82,49,25,8,106,.646,266,208,0.63,-0.08,.591,46,42-25-15,.604
St. Louis Blues*,82,46,29,7,99,.604,235,218,0.17,-0.04,.561,44,38-29-15,.555
Nashville Predators*,82,41,29,12,94,.573,240,224,0.16,-0.04,.512,39,35-29-18,.537
Winnipeg Jets,82,40,35,7,87,.530,249,256,-0.11,-0.03,.476,37,33-35-14,.488
Dallas Stars,82,34,37,11,79,.482,223,262,-0.48,-0.01,.421,33,28-37-17,.445
Colorado Avalanche,82,22,56,4,48,.293,166,278,-1.32,0.05,.274,21,14-56-12,.244
Anaheim Ducks*,82,46,23,13,105,.640,223,200,0.24,-0.04,.561,43,40-23-19,.604
Edmonton Oilers*,82,47,26,9,103,.628,247,212,0.37,-0.06,.579,43,37-26-19,.567
San Jose Sharks*,82,46,29,7,99,.604,221,201,0.21,-0.03,.555,44,38-29-15,.555
Calgary Flames*,82,45,33,4,94,.573,226,221,0.02,-0.04,.537,41,32-33-17,.494
Los Angeles Kings,82,39,35,8,86,.524,201,205,-0.07,-0.02,.488,37,25-35-22,.439
Arizona Coyotes,82,30,42,10,70,.427,197,260,-0.76,0.01,.341,24,20-42-20,.366
Vancouver Canucks,82,30,43,9,69,.421,182,243,-0.73,0.01,.354,26,19-43-20,.354
