Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Florida Panthers*,82,58,18,6,122,.744,340,246,1.07,-0.08,.713,42,42-18-22,.646
Toronto Maple Leafs*,82,54,21,7,115,.701,315,253,0.69,-0.06,.646,45,45-21-16,.646
Tampa Bay Lightning*,82,51,23,8,110,.671,287,233,0.64,-0.02,.640,39,39-23-20,.598
Boston Bruins*,82,51,26,5,107,.652,255,220,0.38,-0.05,.622,40,40-26-16,.585
Buffalo Sabres,82,32,39,11,75,.457,232,290,-0.69,0.02,.390,25,25-39-18,.415
Detroit Red Wings,82,32,40,10,74,.451,230,312,-0.95,0.06,.384,21,21-40-21,.384
Ottawa Senators,82,33,42,7,73,.445,227,266,-0.44,0.03,.396,26,26-42-14,.402
Montreal Canadiens,82,22,49,11,55,.335,221,319,-1.15,0.05,.262,16,16-49-17,.299
Carolina Hurricanes*,82,54,20,8,116,.707,278,202,0.88,-0.05,.665,47,47-20-15,.665
New York Rangers*,82,52,24,6,110,.671,254,207,0.54,-0.03,.628,44,44-24-14,.622
Pittsburgh Penguins*,82,46,25,11,103,.628,272,229,0.49,-0.04,.585,37,37-25-20,.573
Washington Capitals*,82,44,26,12,100,.610,275,245,0.35,-0.02,.524,35,35-26-21,.555
New York Islanders,82,37,35,10,84,.512,231,237,-0.09,-0.02,.476,34,34-35-13,.494
Columbus Blue Jackets,82,37,38,7,81,.494,262,300,-0.44,0.02,.445,26,26-38-18,.427
New Jersey Devils,82,27,46,9,63,.384,248,307,-0.68,0.04,.341,19,19-46-17,.335
Philadelphia Flyers,82,25,46,11,61,.372,211,298,-1.00,0.06,.323,20,20-46-16,.341
Colorado Avalanche*,82,56,19,7,119,.726,312,234,0.91,-0.04,.671,46,46-19-17,.665
Minnesota Wild*,82,53,22,7,113,.689,310,253,0.68,-0.02,.640,37,37-22-23,.591
St. Louis Blues*,82,49,22,11,109,.665,311,242,0.79,-0.05,.604,43,43-22-17,.628
Dallas Stars*,82,46,30,6,98,.598,238,246,-0.09,0.01,.543,31,31-30-21,.506
Nashville Predators*,82,45,30,7,97,.591,266,252,0.19,0.02,.537,35,35-30-17,.530
Winnipeg Jets,82,39,32,11,89,.543,252,257,-0.04,0.02,.488,32,32-32-18,.500
Chicago Blackhawks,82,28,42,12,68,.415,219,291,-0.83,0.05,.317,16,16-42-24,.341
Arizona Coyotes,82,25,50,7,57,.348,207,313,-1.23,0.06,.323,18,18-50-14,.305
Calgary Flames*,82,50,21,11,111,.677,293,208,0.99,-0.05,.610,44,44-21-17,.640
Edmonton Oilers*,82,49,27,6,104,.634,290,252,0.46,0.00,.573,38,38-27-17,.567
Los Angeles Kings*,82,44,27,11,99,.604,239,236,0.03,-0.01,.537,35,35-27-20,.549
Vegas Golden Knights,82,43,31,8,94,.573,266,248,0.21,-0.01,.524,34,34-31-17,.518
Vancouver Canucks,82,40,30,12,92,.561,249,236,0.16,0.00,.500,32,32-30-20,.512
San Jose Sharks,82,32,37,13,77,.470,214,264,-0.58,0.03,.390,22,22-37-23,.409
Anaheim Ducks,82,31,37,14,76,.463,232,271,-0.45,0.03,.384,22,22-37-23,.409
Seattle Kraken,82,27,49,6,60,.366,216,285,-0.80,0.04,.317,23,23-49-10,.341
