Name,Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TK,GV,Awards
Fehervary,2019-20,20,WSH,NHL,6,0,1,1,-2,6,0,0,0,0,1,0,0,7,0.0,16,96,15:59,0,0,,2,14,2,2,
Fehervary,2021-22,22,WSH,NHL,79,8,9,17,15,26,7,0,1,2,8,0,1,96,8.3,181,1553,19:39,0,0,,117,251,14,36,Calder-14
Chara,1997-98,20,NYI,NHL,25,0,1,1,1,50,0,0,0,0,1,0,0,10,0.0,,278,11:07,,,,,,,,
Chara,1998-99,21,NYI,NHL,59,2,6,8,-8,83,1,0,1,0,6,0,0,56,3.6,,1115,18:54,,,,,,,,
Sekera,2006-07,20,BUF,NHL,2,0,0,0,1,2,0,0,0,0,0,0,0,0,,,15,7:31,,,,,,,,
Sekera,2007-08,21,BUF,NHL,37,2,6,8,5,16,2,0,0,1,3,3,0,28,7.1,72,726,19:37,0,0,,50,19,14,14,
Cernak,2018-19,21,TBL,NHL,58,5,11,16,25,58,4,1,0,1,11,0,0,107,4.7,186,1117,19:15,0,0,,79,198,11,19,
Cernak,2019-20,22,TBL,NHL,67,5,7,12,11,59,5,0,0,1,7,0,0,125,4.0,206,1270,18:57,0,0,,97,172,18,28,
Visnovsky,2000-01,24,LAK,NHL,81,7,32,39,16,36,4,3,0,3,21,11,0,105,6.7,,1375,16:58,,,,,,,,AR-1AS-18Calder-4
Visnovsky,2001-02,25,LAK,NHL,72,4,17,21,-5,14,3,1,0,2,12,5,0,95,4.2,,1170,16:15,,,,,,,,
Nemec,2023-24,19,NJD,NHL,60,3,16,19,-7,33,3,0,0,1,14,2,0,73,4.1,201,1192,19:52,0,0,,105,22,18,25,
