Date,Location,Rd,Gm,Series Clinch,Name,Team,Final Score,Opp.,OTs,OT Time
1927-03-31,MTL,QF,2,x,"Morenz, Howie",MTL,1-0,MTM,1,12:05
1928-04-03,MTL,QF,2,,"Oatman, Russell",MTM,1-0,MTL,1,8:20
1928-04-07,MTM,F,2,,"Boucher, Frank",NYR,2-1,MTM,1,7:05
1929-03-21,NYR,QF,2,x,"Keeling, Butch",NYR,1-0,NYA,2,29:50
1929-03-26,TOR,SF,2,x,"Boucher, Frank",NYR,2-1,TOR,1,2:03
1930-03-20,MTM,SF,1,,"Oliver, Harry",BOS,2-1,MTM,3,45:35
1930-03-25,BOS,SF,3,,"Wilcox, Archie",MTM,1-0,BOS,2,26:27
1930-03-26,MTL,QF,2,,"Morenz, Howie",MTL,2-2-*,CBH,3,51:43
1930-03-28,MTL,SF,1,,"Rivers, Gus",MTL,2-1,NYR,4,68:52
1931-03-24,BOS,SF,1,,"Weiland, Cooney",BOS,5-4,MTL,1,18:56
1931-03-26,CBH,QF,2,x,"Adams, Stew",CBH,2-1,TOR,1,19:20
1931-03-28,MTL,SF,3,,"Mantha, Georges",MTL,4-3,BOS,1,5:10
1931-04-01,MTL,SF,5,x,"Larochelle, Wildor",MTL,3-2,BOS,1,19:00
1931-04-05,CBH,F,2,,"Gottselig, Johnny",CBH,2-1,MTL,2,24:50
1931-04-09,MTL,F,3,,"Wentworth, Cy",CBH,3-2,MTL,3,53:50
1932-03-26,MTL,SF,2,,"Cook, Bun",NYR,4-3,MTL,3,59:32
1932-04-02,TOR,SF,2,x,"Gracie, Bob",TOR,3-2,MTM,1,17:59
1933-03-25,BOS,SF,1,,"Barry, Marty",BOS,2-1,TOR,1,14:14
1933-03-28,BOS,SF,2,,"Jackson, Busher",TOR,1-0,BOS,1,15:03
1933-03-30,TOR,SF,3,,"Shore, Eddie",BOS,2-1,TOR,1,4:23
1933-04-03,TOR,SF,5,x,"Doraty, Ken",TOR,1-0,BOS,6,104:46
1933-04-13,TOR,F,4,x,"Cook, Bill",NYR,1-0,TOR,1,7:33
1934-03-22,TOR,SF,1,,"Lewis, Herbie",DET,2-1,TOR,1,1:33
1934-03-25,CBH,QF,2,,"March, Mush",CBH,1-1-*,MTL,1,11:05
1934-04-03,DET,F,1,,"Thompson, Paul",CBH,2-1,DET,2,21:10
1934-04-10,CBH,F,4,x,"March, Mush",CBH,1-0,DET,2,30:05
1935-03-23,BOS,SF,1,,"Clapper, Dit",BOS,1-0,TOR,2,33:26
1935-03-26,CBH,QF,2,,"Northcott, Baldy",MTM,1-0,CBH,1,4:02
1935-03-30,TOR,SF,4,x,"Kelly, Pep",TOR,2-1,BOS,1,1:36
1935-04-04,TOR,F,1,,"Trottier, Dave",MTM,3-2,TOR,1,5:28
1936-03-24,MTM,SF,1,,"Bruneteau, Mud",DET,1-0,MTM,6,116:30
1936-04-09,TOR,F,3,,"Boll, Buzz",TOR,4-3,DET,1,0:31
1937-03-25,NYR,QF,2,x,"Pratt, Babe",NYR,2-1,TOR,1,13:05
1937-04-01,MTL,SF,5,x,"Kilrea, Hec",DET,2-1,MTL,3,51:49
1938-03-22,NYR,QF,1,,"Sorrell, John",NYA,2-1,NYR,2,21:25
1938-03-24,TOR,SF,1,,"Parsons, George",TOR,1-0,BOS,2,21:31
1938-03-26,MTL,QF,3,x,"Thompson, Paul",CBH,3-2,MTL,1,11:49
1938-03-27,NYR,QF,3,x,"Carr, Lorne",NYA,3-2,NYR,4,60:40
1938-03-29,BOS,SF,3,x,"Drillon, Gordie",TOR,3-2,BOS,1,10:04
1938-03-31,CBH,SF,2,,"Dahlstrom, Cully",CBH,1-0,NYA,2,33:01
1939-03-21,NYR,SF,1,,"Hill, Mel",BOS,2-1,NYR,3,59:25
1939-03-23,BOS,SF,2,,"Hill, Mel",BOS,3-2,NYR,1,8:24
1939-03-26,DET,QF,3,x,"Barry, Marty",DET,1-0,MTL,1,7:47
1939-03-30,BOS,SF,5,,"Smith, Clint",NYR,2-1,BOS,1,17:19
1939-04-01,TOR,SF,3,x,"Drillon, Gordie",TOR,5-4,DET,1,5:42
1939-04-02,BOS,SF,7,x,"Hill, Mel",BOS,2-1,NYR,3,48:00
1939-04-09,BOS,F,2,,"Romnes, Doc",TOR,3-2,BOS,1,10:38
1940-03-19,DET,QF,1,,"Howe, Syd",DET,2-1,NYA,1,0:25
1940-03-19,TOR,QF,1,,"Apps, Syl",TOR,3-2,CBH,1,6:35
1940-04-02,NYR,F,1,,"Pike, Alf",NYR,2-1,TOR,1,15:30
1940-04-11,TOR,F,5,,"Patrick, Muzz",NYR,2-1,TOR,2,31:43
